name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Gravsiö Wallin Adam, IFK Täby BTK,204,55,39,31,,31,,48,
Jobs Hugo, Ängby SK,155,31,5,16,45,12,31,20,
Sjösvärd Melker, Linköpings Pingisklubb,146,16,16,39,12,,24,7,39
Geijer Axel, KFUM Jönköping IA,139,9,5,16,31,7,45,4,31
Ståhl Olle, Ängby SK,132,9,5,9,,24,24,11,55
Madhu Chandra Bharath, Spårvägens BTK,131,9,55,16,,12,,39,
Hedblad Sigge, IFK Täby BTK,114,9,31,9,,45,,20,
Gjörling Emil, Ängby SK,111,16,16,31,,12,12,20,16
Alvendal Theo, Norrtulls SK,101,39,16,,12,7,7,11,16
Enbom Noah, Carlshamns BTK,77,9,16,9,24,7,12,7,
Usov Mark, Haparanda SKT,75,31,,9,,24,,11,
Kingham Issac, England,70,,31,,,,,39,
Lapinat Hugo, Region Alpes Cote d'Azur,66,,,,,,,66,
Piilola Mio, BTK Frej,62,16,9,5,7,12,7,11,
Abramov Natanael, Rishon LeZion,55,,,55,,,,,
EngbergHavsteen Johan, Åstorps BTK,53,16,9,9,,,12,7,
Larsson Sebastian, Spårvägens BTK,46,5,9,9,7,,,7,9
Röhr Jack, Spårvägens BTK,46,9,9,5,7,,,7,9
Hallberg Leon, Halmstad BTK,43,9,5,3,12,7,7,,
Larsson Vidar, Uppsala BTK,40,5,9,3,7,,7,7,5
Mortensen Petter, Norge,38,,,,,,,7,31
Myrhage Axel, Askims BTK,35,5,5,3,2,4,,,16
Bröms August, Norrtulls SK,31,5,5,5,4,7,4,,5
Johansson Melker, Norrtulls SK,30,5,9,5,,4,4,,3
Bozanovic Emilio, BTK Rekord,29,5,5,5,,7,7,,
Karlsson Englund Simon, Spårvägens BTK,29,,5,5,4,4,,2,9
AhKing Lo, Hammarby IF BTF,28,5,,,,7,7,4,5
Sellado Abraham, England,28,,,,24,,,4,
Frøseth Jonas, Tingvoll BTK,27,3,,,,,4,4,16
Claeson Felix, IFK Lund Bordtennis,26,5,,,4,4,4,,9
Høier Erik, Bronshoj,26,5,,9,,,12,,
Leth Nottelmann Adam, Brønshøj,26,9,5,5,,,7,,
Lundh Gabriel, Spårvägens BTK,26,3,5,5,,,,4,9
Severinsen Malik, ESBJERG,26,5,5,5,7,,4,,
Hermann Magne, Lekstorps IF,25,5,3,2,4,7,,4,
Hasselbalch Emil, Virum/Sorgenfri BTK,23,3,9,3,4,,4,,
Sträm Jacob, Ängby SK,23,3,1,5,,4,,1,9
Kongsdal Andreas, Vestegnen BTK,22,5,5,1,7,,4,,
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,20,,5,3,4,,4,4,
Champauzas Maxence, Region Alpes Cote d'Azur,20,,,,,,,20,
Lehtola Lassi, Finland,20,,,16,,,,4,
Petersson Tintin, IFK Klagshamn,20,3,5,,4,4,4,,
Ellermann Emil, Västers BTK,19,2,3,3,,4,,7,
Engström Alexander, Hammarby IF BTF,19,5,,2,4,4,,1,3
Radiven Max, England,19,,,,12,,,7,
Ingeström Albin, Ängby SK,18,3,3,2,,2,4,4,
Törnkvist Hampus, Halmstad BTK,18,2,3,1,4,4,4,,
Adolphson Noa, Spårvägens BTK,17,,3,2,,,,7,5
Fischer Mio, Norrtulls SK,17,2,5,2,1,,1,4,3
Salmi Lenny, Västerås BTK,17,,,5,,,,7,5
Boberg Nils, IFK Klagshamn,16,,3,2,7,2,2,,
Elebring Felix, Linköpings Pingisklubb,16,2,,5,,,4,,5
Sahr Aaron, Luxembourg,16,,,9,,,,7,
Wirk Nikolaj, Vestegnen BTK,16,5,3,,4,,4,,
